Region,Status,Population,SNP,Family,Age_SD,Ageatmaturity,Length_SD,Finallength,Growth_SD,growthrate3mm,inverseloggrowth,inversesqrtage,Familymeans_age,Familymeans_length,Familymeans_growth
Invasive,Invasive,Gb,1,Gb5,37.339, ,.40857, ,.005571,.01568807339,-.240682314413547, ,166.25,4.7825,.016915780166
Invasive,Invasive,Gb,1,Gb5,37.339,173,.40857,4.88,.005571,.01510344828,-.238502270708834,.0760285921269706,166.25,4.7825,.016915780166
South,Native,Grasmere, ,GR41, , , , , ,.01875,-.251473538965618, ,315.6,5.7,.0203888571428571
South,Native,Grasmere, ,GR41, , , , , ,.031915,-.290302798452911, ,315.6,5.7,.0203888571428571
South,Native,Grasmere, ,GR41, , , , , , , , ,315.6,5.7,.0203888571428571
South,Native,Grasmere, ,GR41, ,216, ,5.963, ,.024793,-.270475398540731,.0680413817439772,315.6,5.7,.0203888571428571
South,Native,Grasmere, ,GR41, ,216, ,6.094, ,.023256,-.265873151179647,.0680413817439772,315.6,5.7,.0203888571428571
South,Native,Grasmere, ,GR41, ,358, ,5.875, ,.014706,-.236994921167006,.052851642258169,315.6,5.7,.0203888571428571
South,Native,Grasmere, ,GR41, ,380, ,4.867, ,.012448,-.227988023553723,.0512989176042577,315.6,5.7,.0203888571428571
South,Native,Grasmere, ,GR41, ,408, ,5.701, ,.016854,-.244907919740794,.0495073771488337,315.6,5.7,.0203888571428571
South,Native,Grasmere, ,GR44, ,176, ,5.808, , , ,.0753778361444409,254.888888888889,6.19,.028864
South,Native,Grasmere, ,GR44, ,206, ,5.95, ,.017751,-.248058112623252,.0696733014291618,254.888888888889,6.19,.028864
South,Native,Grasmere, ,GR44, ,214, , , ,.025424,-.272326581111365,.0683585927024663,254.888888888889,6.19,.028864
South,Native,Grasmere, ,GR44, ,228, ,6.015, , , ,.0662266178532522,254.888888888889,6.19,.028864
South,Native,Grasmere, ,GR44, ,235, ,6.51, , , ,.0652328073053442,254.888888888889,6.19,.028864
South,Native,Grasmere, ,GR44, ,239, ,6.186, ,.039474,-.309395118307953,.0646846227353151,254.888888888889,6.19,.028864
South,Native,Grasmere, ,GR44, ,280, ,6.232, ,.016216,-.242614989573767,.0597614304667197,254.888888888889,6.19,.028864
South,Native,Grasmere, ,GR44, ,282, ,5.887, ,.045455,-.32351649976931,.0595491334175414,254.888888888889,6.19,.028864
South,Native,Grasmere, ,GR44, ,434, ,6.932, , , ,.0480015360737319,254.888888888889,6.19,.028864
South,Native,Grasmere, ,GR45, , , , , , , , ,583,5.208,.019088
South,Native,Grasmere, ,GR45, , , , , ,.035294,-.299039279393322, ,583,5.208,.019088
South,Native,Grasmere, ,GR45, , , , , ,.015228,-.238970356618528, ,583,5.208,.019088
South,Native,Grasmere, ,GR45, , , , , , , , ,583,5.208,.019088
South,Native,Grasmere, ,GR45, , , , , , , , ,583,5.208,.019088
South,Native,Grasmere, ,GR45, , , , , , , , ,583,5.208,.019088
South,Native,Grasmere, ,GR45, , , , , , , , ,583,5.208,.019088
South,Native,Grasmere, ,GR45, ,583, ,5.208, ,.006742,-.200024056406395,.0414157683281291,583,5.208,.019088
South,Native,Grasmere, ,GR48, , , , , , , , ,347,4.48866666666667,.0219056
South,Native,Grasmere, ,GR48, , , , , , , , ,347,4.48866666666667,.0219056
South,Native,Grasmere, ,GR48, , , , , , , , ,347,4.48866666666667,.0219056
South,Native,Grasmere, ,GR48, , , , , ,.021898,-.261686940699562, ,347,4.48866666666667,.0219056
South,Native,Grasmere, ,GR48, , , , , ,.025,-.271085030681817, ,347,4.48866666666667,.0219056
South,Native,Grasmere, ,GR48, ,270, ,4.61, ,.018293,-.249922723520692,.0608580619450185,347,4.48866666666667,.0219056
South,Native,Grasmere, ,GR48, ,297, ,4.355, ,.014634,-.236719576627046,.0580258853185659,347,4.48866666666667,.0219056
South,Native,Grasmere, ,GR48, ,364, ,4.501, , , ,.0524142418360959,347,4.48866666666667,.0219056
South,Native,Grasmere, ,GR48, ,457, , , ,.029703,-.284373082468926,.0467780269724988,347,4.48866666666667,.0219056
South,Native,Grasmere, ,GR49, , , , , ,.031915,-.290302798452911, ,250.25,5.02666666666667,.020665125
South,Native,Grasmere, ,GR49, , , , , ,.02459,-.269875273325427, ,250.25,5.02666666666667,.020665125
South,Native,Grasmere, ,GR49, , , , , ,.024,-.268117975063714, ,250.25,5.02666666666667,.020665125
South,Native,Grasmere, ,GR49, , , , , ,.019608,-.25433529563246, ,250.25,5.02666666666667,.020665125
South,Native,Grasmere, ,GR49, ,206, , , ,.018519,-.250692032415978,.0696733014291618,250.25,5.02666666666667,.020665125
South,Native,Grasmere, ,GR49, ,220, ,5.079, ,.01875,-.251473538965618,.0674199862463242,250.25,5.02666666666667,.020665125
South,Native,Grasmere, ,GR49, ,227, ,5.37, ,.016575,-.243910782979656,.0663723311599972,250.25,5.02666666666667,.020665125
South,Native,Grasmere, ,GR49, ,348, ,4.631, ,.011364,-.223348653112015,.0536056267418897,250.25,5.02666666666667,.020665125
South,Native,Grasmere, ,GR50, , , , , , , , ,308,4.728,.018075
South,Native,Grasmere, ,GR50, , , , , ,.024793,-.270475398540731, ,308,4.728,.018075
South,Native,Grasmere, ,GR50, , , , , ,.023256,-.265873151179647, ,308,4.728,.018075
South,Native,Grasmere, ,GR50, , , , , ,.014706,-.236994921167006, ,308,4.728,.018075
South,Native,Grasmere, ,GR50, , , , , ,.012448,-.227988023553723, ,308,4.728,.018075
South,Native,Grasmere, ,GR50, ,273, ,4.592, ,.016393,-.243255683596357,.0605227532668803,308,4.728,.018075
South,Native,Grasmere, ,GR50, ,343, ,4.864, ,.016854,-.244907919740794,.0539949247156039,308,4.728,.018075
South,Native,Grasmere, ,GR51, , , , , ,.017751,-.248058112623252, ,250.25,4.879,.0252256
South,Native,Grasmere, ,GR51, , , , , , , , ,250.25,4.879,.0252256
South,Native,Grasmere, ,GR51, , , , , , , , ,250.25,4.879,.0252256
South,Native,Grasmere, ,GR51, , , , , , , , ,250.25,4.879,.0252256
South,Native,Grasmere, ,GR51, ,163, ,4.962, ,.026549,-.275575987125707,.0783260449987957,250.25,4.879,.0252256
South,Native,Grasmere, ,GR51, ,203, ,4.686, ,.027027,-.276937816714244,.0701862406343596,250.25,4.879,.0252256
South,Native,Grasmere, ,GR51, ,243, ,5.494, ,.045455,-.32351649976931,.0641500299099584,250.25,4.879,.0252256
South,Native,Grasmere, ,GR51, ,392, ,4.374, ,.009346,-.214004138277924,.0505076272276105,250.25,4.879,.0252256
